Smiles,ID
CN(CC(O)=O)C(CC1)CS1(=O)=O,C153
CC(C)(C)n(c(C1CC1)c1)nc1C(O)=O,C154
CC(C)Cc(cc1)ccc1C(O)=O,C155
CN(C)S(c1ccc(C(O)=O)o1)(=O)=O,C156
OC(CC1OCCCC1)=O,C157
Cc(cc1C(O)=O)cc(Br)c1O,C158
CC(C)C(C(O)=O)SCc1ccccc1,C159
NC(NCCC(O)=O)=O,C160
Cc(c(C(O)=O)ccc1)c1[N+]([O-])=O,C161
CC(C)(C)c1nc(C(O)=O)cs1,C162
CC(C)Cc1ccc(CCC(O)=O)cc1,C163
OC(CSCC(N1CCOCC1)=O)=O,C164
CC(C)Oc(c(OC)cc(/C=C/C(O)=O)c1)c1Cl,C165
OC([C@@H](CN(Cc1ccccc1)C1)[C@H]1C1CC1)=O,C166
OC(c1cccnc1Nc1cccc(F)c1)=O,C167
OC(CN(C=CC=C1C(F)(F)F)C1=O)=O,C168
COc1cc(Br)c(CCC(O)=O)cc1,C169
OC(COC1CCCCC1)=O,C170
NC(c(cc1)ncc1C(O)=O)=O,C171
OC(C(C1)Oc(cccc2)c2N1C=O)=O,C172
CC(C)(C(Cl)=C)C(O)=O,C173
Cc(cc1)c(C)cc1Sc1ncccc1C(O)=O,C174
CC(C)(CC(N1CC(O)=O)=O)C1=O,C175
OC(CCCc(cc1)ccc1I)=O,C176
CN(C)Cc(cccc1)c1C(O)=O,C177
CC(C)(C(O)=O)N(CC1)CCS1(=O)=O,C178
OC(CN1N=C(CCCC2)N2C1=O)=O,C179
N#Cc(cc1)cc(C(O)=O)c1F,C180
CC(C)C(C(O)=O)O,C181
CC(N(CC1)CCN1S(c(cc1)ccc1C(O)=O)(=O)=O)=O,C182
OC(CCc1cccc(Cl)c1)=O,C183
OC(c1c(C(F)(F)F)scn1)=O,C184
OC(c(cc1)ccc1Nc1cnccc1)=O,C185
O[C@]1(C[C@@H](C2)C3)C[C@@]3(CC(O)=O)C[C@H]2C1,C186
OC(CN(C1)c(cccc2)c2OC1=O)=O,C187
CCC(C(O)=O)OCC,C188
COc(cc(C(O)=O)c([N+]([O-])=O)c1)c1F,C189
CN(c(sc(C(O)=O)c1)c1C(N1C)=O)C1=O,C190
Cc(c(C(O)=O)ccc1)c1F,C191
COC(Cc1ccccc1)C(O)=O,C192
CN(C)C1(CC(O)=O)CCCC1,C193
Cc1nc(c(scc2)c2c(OCC(O)=O)c2)c2s1,C194
CCN(CC)C(N(CCC1)CC1C(O)=O)=O,C195
CC(C)c(cc1)c(C)cc1Oc(cc1)ncc1C(O)=O,C196
CN(CC(O)=O)C(c(o1)ccc1Br)=O,C197
CC(C)n1nnc(C(O)=O)c1C,C198
CC(C)(CO)C(O)=O,C199
OC(c1c(CCC2)c2ccc1)=O,C200
CC(C)CCOC(C)C(O)=O,C201
OC(CSc1ncc(C(F)(F)F)cc1)=O,C202
[O-][N+](c(cccc1C(O)=O)c1Cl)=O,C203
NC(CN(CCC1)CC1C(O)=O)=O,C204
Cc1cc(CC(O)=O)c(C)cc1,C205
OC(CNC(Nc1ccccc1)=O)=O,C206
OC(CC1OCCC1)=O,C207
CC(C)(C)n(c1nc(C2CC2)c2)nc(C)c1c2C(O)=O,C208
N#Cc1cc(C(O)=O)cc(O)c1,C209
OC(CN1N=C(CCCCC2)N2C1=O)=O,C210
OC(COc(cccc1)c1Br)=O,C211
OC(CCCc(cc1)ccc1F)=O,C212
CC(C)(C)N(CC(C1)C(O)=O)C1=O,C213
Cc(ccc(SC)c1)c1C(O)=O,C214
CCC(CC)C(C(O)=O)N1CCOCC1,C215
OC(c(cc1)cnc1-n1c(cccc2)c2nc1)=O,C216
COCCC1(CC1)C(O)=O,C217
OC(c1cc(-c2ccccc2)cc(Cl)c1O)=O,C218
CN(CC(O)=O)C(c(s1)ccc1Br)=O,C219
OC(/C=C/c1nc(cccc2)c2o1)=O,C220
OC(CCS(C1CCCC1)(=O)=O)=O,C221
CN(CC(O)=O)Cc1ccccc1,C222
Cc(nc1)nc(C2CC2)c1C(O)=O,C223
OC(c1ccc(C(F)(F)F)s1)=O,C224
COc(cc1)cc(CC(O)=O)c1OC,C225
Cc1nn(C2(CC(C3)C4)CC4(CC(O)=O)CC3C2)nn1,C226
NC(Nc(cc1)ccc1C(O)=O)=N,C227
CCC(C(O)=O)OC1CCCC1,C228
Cc(ccc(Cl)c1)c1C(O)=O,C229
OC(CN1N=Cn2nccc2C1=O)=O,C230
COc1cc(CCC(O)=O)cc(OC)c1,C231
CC(C)(CC(O)=O)O,C232
CN(C)S(c(cc1)ncc1C(O)=O)(=O)=O,C233
OC(CN(C(C(CC1)(c2c1cccc2)N1)=O)C1=O)=O,C234
OC(c1c2[nH]cnc2cc(F)c1)=O,C235
CCOC(C1(CCC1)C(O)=O)=O,C236
